axis,axis_value,focus,baseline,metric,oriented_mean_delta,sem,verdict,seeds_favoring_focus,n_seeds,focus_questions_per_claim,baseline_questions_per_claim
root_zipf_exponent,0.0,lineage,none,independent_roots_per_question,0.5911416936156002,0.027558386238512346,win,8,8,0.04666666666666666,0.0
root_zipf_exponent,0.0,lineage,none,resolved_gap_rate,0.00013966480446927373,0.0001396648044692737,tie,1,8,0.04666666666666666,0.0
root_zipf_exponent,0.0,lineage,random,accuracy,-0.021249999999999977,0.0023280126411046077,loss,0,8,0.04666666666666666,3.0
root_zipf_exponent,0.0,lineage,random,false_confident_consensus_rate,-0.000916666666666667,0.0010906347358231932,tie,4,8,0.04666666666666666,3.0
root_zipf_exponent,0.0,lineage,random,independent_roots_per_question,0.26466947139337793,0.026994165345819252,win,8,8,0.04666666666666666,3.0
root_zipf_exponent,0.0,lineage,random,resolved_gap_rate,-0.1674789344664604,0.004184471735577789,loss,0,8,0.04666666666666666,3.0
root_zipf_exponent,0.0,lineage,uncertainty,accuracy,-0.023750000000000007,0.0020661193591729383,loss,0,8,0.04666666666666666,1.0498333333333334
root_zipf_exponent,0.0,lineage,uncertainty,false_confident_consensus_rate,0.0014166666666666666,0.00034359213546813843,win,7,8,0.04666666666666666,1.0498333333333334
root_zipf_exponent,0.0,lineage,uncertainty,independent_roots_per_question,0.2592069913459078,0.02803541092716134,win,8,8,0.04666666666666666,1.0498333333333334
root_zipf_exponent,0.0,lineage,uncertainty,resolved_gap_rate,-0.008863538635415431,0.0006696654398692238,loss,0,8,0.04666666666666666,1.0498333333333334
root_zipf_exponent,0.0,lineage,continual,accuracy,-0.04816666666666668,0.0032726621365972873,loss,0,8,0.04666666666666666,1.8994166666666668
root_zipf_exponent,0.0,lineage,continual,false_confident_consensus_rate,0.0001666666666666663,0.00027458482368263786,tie,2,8,0.04666666666666666,1.8994166666666668
root_zipf_exponent,0.0,lineage,continual,independent_roots_per_question,-0.14640389141039864,0.02830305424132653,loss,0,8,0.04666666666666666,1.8994166666666668
root_zipf_exponent,0.0,lineage,continual,resolved_gap_rate,-0.20702246374345418,0.0037205626818005507,loss,0,8,0.04666666666666666,1.8994166666666668
root_zipf_exponent,0.0,continual,none,accuracy,0.05041666666666668,0.0032706911555389472,win,8,8,1.8994166666666668,0.0
root_zipf_exponent,0.0,continual,none,false_confident_consensus_rate,0.0008333333333333331,0.00039339789623472145,win,6,8,1.8994166666666668,0.0
root_zipf_exponent,0.0,continual,none,independent_roots_per_question,0.7375455850259989,0.0035684482428229736,win,8,8,1.8994166666666668,0.0
root_zipf_exponent,0.0,continual,none,resolved_gap_rate,0.20716212854792346,0.0037513077676870764,win,8,8,1.8994166666666668,0.0
root_zipf_exponent,0.0,continual,random,accuracy,0.0269166666666667,0.004033466152870174,win,8,8,1.8994166666666668,3.0
root_zipf_exponent,0.0,continual,random,false_confident_consensus_rate,-0.0010833333333333333,0.0010978875820670997,tie,4,8,1.8994166666666668,3.0
root_zipf_exponent,0.0,continual,random,independent_roots_per_question,0.4110733628037766,0.0029678326901930053,win,8,8,1.8994166666666668,3.0
root_zipf_exponent,0.0,continual,random,resolved_gap_rate,0.03954352927699377,0.0015835240166250395,win,8,8,1.8994166666666668,3.0
root_zipf_exponent,0.0,continual,uncertainty,accuracy,0.02441666666666667,0.0018513722924035,win,8,8,1.8994166666666668,1.0498333333333334
root_zipf_exponent,0.0,continual,uncertainty,false_confident_consensus_rate,0.0012500000000000002,0.000510796141736308,win,6,8,1.8994166666666668,1.0498333333333334
root_zipf_exponent,0.0,continual,uncertainty,independent_roots_per_question,0.4056108827563064,0.0030563643210266994,win,8,8,1.8994166666666668,1.0498333333333334
root_zipf_exponent,0.0,continual,uncertainty,resolved_gap_rate,0.19815892510803876,0.0034766350724234115,win,8,8,1.8994166666666668,1.0498333333333334
root_zipf_exponent,0.0,continual,lineage,accuracy,0.04816666666666668,0.0032726621365972873,win,8,8,1.8994166666666668,0.04666666666666666
root_zipf_exponent,0.0,continual,lineage,false_confident_consensus_rate,-0.0001666666666666663,0.00027458482368263786,tie,2,8,1.8994166666666668,0.04666666666666666
root_zipf_exponent,0.0,continual,lineage,independent_roots_per_question,0.14640389141039864,0.02830305424132653,win,8,8,1.8994166666666668,0.04666666666666666
root_zipf_exponent,0.0,continual,lineage,resolved_gap_rate,0.20702246374345418,0.0037205626818005507,win,8,8,1.8994166666666668,0.04666666666666666
root_zipf_exponent,0.6,lineage,none,accuracy,0.004666666666666666,0.0007968190728896075,win,8,8,0.06725,0.0
root_zipf_exponent,0.6,lineage,none,false_confident_consensus_rate,0.003,0.0004879500364742665,win,8,8,0.06725,0.0
root_zipf_exponent,0.6,lineage,none,independent_roots_per_question,0.7192620505139855,0.015058761724504368,win,8,8,0.06725,0.0
root_zipf_exponent,0.6,lineage,none,resolved_gap_rate,0.00014013452914798206,0.00014013452914798206,tie,1,8,0.06725,0.0
root_zipf_exponent,0.6,lineage,random,accuracy,-0.020083333333333342,0.0017925662193608442,loss,0,8,0.06725,3.0
root_zipf_exponent,0.6,lineage,random,false_confident_consensus_rate,-0.0010833333333333333,0.0013389020614513706,tie,2,8,0.06725,3.0
