n_agents,regime,severity,corruption_type,corruption_level,partition_parts,phase,metric,system,baseline,mean_system,mean_baseline,mean_diff,ci_low,ci_high,cohens_dz,p_paired_t,n_pairs
100,correlated_region,0.5,none,0.0,0,post_failure,iss,B6,B2,0.7036573827266693,0.9999888877073924,-0.2963315049807231,-0.3010042810440064,-0.2916047322253386,-22.23112048466417,7.580944985892704e-41,30
100,correlated_region,0.5,none,0.0,0,post_failure,iss,B6,B4,0.7036573827266693,0.8852139910062155,-0.1815566082795461,-0.19375698015093804,-0.1683778379360835,-5.0004044126313785,2.8261273883444114e-22,30
100,correlated_region,0.5,none,0.0,0,post_failure,iss,B7,B2,0.7046050667762757,0.9999888877073924,-0.29538382093111676,-0.3002045413355033,-0.29046622137228645,-21.663312278107004,1.6030602748823558e-40,30
100,correlated_region,0.5,none,0.0,0,post_failure,accuracy_macro,B7,B3Q,0.7893119774794272,0.8091869170001379,-0.019874939520710507,-0.026780442992130823,-0.013015050972419485,-1.0181314758158768,5.118410143891501e-06,30
100,correlated_region,0.7,none,0.0,0,post_failure,knowledge_survival,B6,B2,0.7028000000000001,0.8735666666666666,-0.17076666666666668,-0.17778333333333332,-0.16375,-8.65941636823683,4.878428244525642e-29,30
100,correlated_region,0.7,none,0.0,0,post_failure,accuracy_macro,B6,B2,0.4726923986729404,0.6011837046584857,-0.12849130598554537,-0.13566962077300251,-0.1211446432785357,-6.271525271002699,4.805293435540185e-25,30
100,correlated_region,0.7,none,0.0,0,post_failure,iss,B6,B2,0.5219807078440984,0.9983104884624481,-0.4763297806183497,-0.4811879602322976,-0.4712324483692646,-33.36998494046506,5.900630066857672e-46,30
100,correlated_region,0.7,none,0.0,0,post_failure,knowledge_survival,B6,B4,0.7028000000000001,0.7831333333333336,-0.08033333333333334,-0.09443416666666668,-0.06525000000000002,-1.9614295189314457,1.2663615789329367e-11,30
100,correlated_region,0.7,none,0.0,0,post_failure,accuracy_macro,B6,B4,0.4726923986729404,0.5060555046709383,-0.03336310599799785,-0.04756476946869523,-0.018673924467439006,-0.8229839556838707,9.940556319100459e-05,30
100,correlated_region,0.7,none,0.0,0,post_failure,iss,B6,B4,0.5219807078440984,0.7472851435343425,-0.22530443569024403,-0.24838129584987959,-0.2012981510659059,-3.376086398049071,1.3595106200059995e-17,30
100,correlated_region,0.7,none,0.0,0,post_failure,knowledge_survival,B7,B2,0.7566500000000002,0.8735666666666666,-0.11691666666666668,-0.12438375,-0.10919958333333332,-5.461812193598255,2.3789984110291074e-23,30
100,correlated_region,0.7,none,0.0,0,post_failure,iss,B7,B2,0.5232514838377634,0.9983104884624481,-0.47505900462468464,-0.479878209233284,-0.4700513108074665,-33.996588032005576,3.4418433902264127e-46,30
100,correlated_region,0.9,none,0.0,0,post_failure,knowledge_survival,B6,B2,0.3163,0.8399333333333333,-0.5236333333333332,-0.5311504166666666,-0.5159995833333333,-24.180503819968592,6.651944958722013e-42,30
100,correlated_region,0.9,none,0.0,0,post_failure,accuracy_macro,B6,B2,0.1869544479199085,0.5713658311768203,-0.38441138325691177,-0.3914030260301622,-0.3774650285493755,-19.5297698520312,3.2200921274873636e-39,30
100,correlated_region,0.9,none,0.0,0,post_failure,iss,B6,B2,0.21427821566661198,0.8948163489500681,-0.6805381332834561,-0.6854078348105153,-0.6755443592493733,-48.928365859563414,8.990622966058631e-51,30
100,correlated_region,0.9,none,0.0,0,post_failure,knowledge_survival,B6,B4,0.3163,0.6304666666666666,-0.3141666666666667,-0.3307333333333334,-0.29538291666666666,-6.179241104229778,7.311817639288102e-25,30
100,correlated_region,0.9,none,0.0,0,post_failure,accuracy_macro,B6,B4,0.1869544479199085,0.3971646980279072,-0.21021025010799863,-0.2232796358431781,-0.19553232032040588,-5.289888737334852,5.842351321723564e-23,30
100,correlated_region,0.9,none,0.0,0,post_failure,iss,B6,B4,0.21427821566661198,0.4785657743612925,-0.2642875586946805,-0.2815793554857373,-0.24474902390191955,-4.981222564902028,3.146645441886396e-22,30
100,correlated_region,0.9,none,0.0,0,post_failure,knowledge_survival,B7,B2,0.3361166666666666,0.8399333333333333,-0.5038166666666667,-0.5114666666666666,-0.49596625,-23.08759800114082,2.5379618742675356e-41,30
100,correlated_region,0.9,none,0.0,0,post_failure,accuracy_macro,B7,B2,0.24816223150349676,0.5713658311768203,-0.3232035996733237,-0.33191082569371766,-0.3147168253258373,-13.377556232915815,1.8019974909819014e-34,30
100,correlated_region,0.9,none,0.0,0,post_failure,iss,B7,B2,0.2116962492465973,0.8948163489500681,-0.6831200997034709,-0.6883848857258758,-0.6777728014190991,-45.8246649945522,6.009333053946579e-50,30
100,partition,0.0,none,0.0,2,after_reconnect,knowledge_survival,B6,B2,0.7615166666666666,0.7645499999999998,-0.0030333333333333284,-0.005500416666666671,-0.00038333333333334283,-0.4156519925347953,0.030370917142888643,30
100,partition,0.0,none,0.0,2,after_reconnect,iss,B6,B2,0.9304564376672109,1.0,-0.0695435623327891,-0.07063087597489358,-0.06847726528843244,-22.728505073405593,3.995418613240179e-41,30
100,partition,0.0,none,0.0,2,after_reconnect,knowledge_survival,B6,B4,0.7615166666666666,0.8138666666666665,-0.05235,-0.05793333333333333,-0.04651666666666667,-3.2250648635543064,4.61590948657576e-17,30
100,partition,0.0,none,0.0,2,after_reconnect,accuracy_macro,B6,B4,0.44815232949499034,0.4759878090938383,-0.02783547959884791,-0.033206400177669376,-0.02250715504597182,-1.8277904768108055,6.434022311118927e-11,30
100,partition,0.0,none,0.0,2,after_reconnect,iss,B6,B4,0.9304564376672109,1.0,-0.0695435623327891,-0.07063087597489358,-0.06847726528843244,-22.728505073405593,3.995418613240179e-41,30
100,partition,0.0,none,0.0,2,after_reconnect,iss,B7,B2,0.9304564376672109,1.0,-0.0695435623327891,-0.07063087597489358,-0.06847726528843244,-22.728505073405593,3.995418613240179e-41,30
100,partition,0.0,none,0.0,2,after_reconnect,knowledge_survival,B7,B3Q,0.8797666666666667,0.9200000000000002,-0.04023333333333334,-0.042917083333333356,-0.037466250000000006,-5.207786928418348,9.060047903575419e-23,30
100,partition,0.0,none,0.0,2,after_reconnect,accuracy_macro,B7,B3Q,0.7404457897794876,0.8291334455860242,-0.0886876558065368,-0.09484649324232712,-0.08232822086790471,-4.9990623666456955,2.847413827286175e-22,30
100,partition,0.0,none,0.0,2,during_partition,knowledge_survival,B6,B2,0.7569333333333332,0.7906666666666665,-0.03373333333333335,-0.038483333333333355,-0.029182916666666687,-2.528820340656454,2.5756583622808612e-14,30
100,partition,0.0,none,0.0,2,during_partition,iss,B6,B2,0.7342285176118215,0.997987562417984,-0.2637590448061625,-0.2774456204970678,-0.24769804154833158,-6.280254116584246,4.619647650913231e-25,30
100,partition,0.0,none,0.0,2,during_partition,knowledge_survival,B6,B4,0.7569333333333332,0.7744666666666667,-0.017533333333333335,-0.023450000000000006,-0.01183333333333334,-1.0599969567223348,2.7167121376406954e-06,30
100,partition,0.0,none,0.0,2,during_partition,iss,B6,B4,0.7342285176118215,0.8928727626800537,-0.15864424506823221,-0.16846734777092934,-0.1489705800016721,-5.8284002545663,3.8157466049741766e-24,30
100,partition,0.0,none,0.0,2,during_partition,iss,B7,B2,0.7333008289337158,0.997987562417984,-0.2646867334842682,-0.2775727561612924,-0.24940433219075203,-6.612166082092163,1.0721745608464922e-25,30
100,partition,0.0,none,0.0,2,during_partition,accuracy_macro,B7,B3Q,0.6550779484498945,0.6809668198954225,-0.025888871445528032,-0.03332888672316119,-0.01880465604176631,-1.2582885497426388,1.425864926666281e-07,30
100,partition,0.0,none,0.0,4,after_reconnect,knowledge_survival,B6,B3,0.6903166666666667,0.6949666666666665,-0.0046500000000000135,-0.008200000000000011,-0.0010162500000000126,-0.45182617821727983,0.01942350248434855,30
100,partition,0.0,none,0.0,4,after_reconnect,knowledge_survival,B6,B5,0.6903166666666667,0.6980333333333333,-0.007716666666666672,-0.010733333333333327,-0.004600000000000004,-0.883591892022605,3.960924200315518e-05,30
100,partition,0.0,none,0.0,4,after_reconnect,iss,B6,B2,0.9304564376672109,1.0,-0.0695435623327891,-0.07063087597489358,-0.06847726528843244,-22.728505073405593,3.995418613240179e-41,30
100,partition,0.0,none,0.0,4,after_reconnect,knowledge_survival,B6,B4,0.6903166666666667,0.7649833333333333,-0.07466666666666667,-0.08015041666666667,-0.06879958333333336,-4.578205984744242,3.3003738679806316e-21,30
100,partition,0.0,none,0.0,4,after_reconnect,accuracy_macro,B6,B4,0.39321470807236153,0.4365162280095215,-0.04330151993715992,-0.048419511746617995,-0.03766164618977692,-2.821755265935782,1.54912676587086e-15,30
100,partition,0.0,none,0.0,4,after_reconnect,iss,B6,B4,0.9304564376672109,1.0,-0.0695435623327891,-0.07063087597489358,-0.06847726528843244,-22.728505073405593,3.995418613240179e-41,30
100,partition,0.0,none,0.0,4,after_reconnect,iss,B7,B2,0.9304564376672109,1.0,-0.0695435623327891,-0.07063087597489358,-0.06847726528843244,-22.728505073405593,3.995418613240179e-41,30
100,partition,0.0,none,0.0,4,after_reconnect,knowledge_survival,B7,B3Q,0.8390000000000002,0.8908166666666665,-0.051816666666666664,-0.05535000000000001,-0.04811666666666668,-5.057418672407437,2.0582123728122342e-22,30
100,partition,0.0,none,0.0,4,after_reconnect,accuracy_macro,B7,B3Q,0.7034294128983735,0.8006285836198643,-0.09719917072149051,-0.10376718129914325,-0.09079336653832877,-5.298519232418546,5.581086799866351e-23,30
100,partition,0.0,none,0.0,4,during_partition,knowledge_survival,B6,B2,0.6030166666666668,0.7391333333333334,-0.1361166666666667,-0.14721750000000003,-0.12511624999999998,-4.295114934756065,1.9318866668261033e-20,30
100,partition,0.0,none,0.0,4,during_partition,accuracy_macro,B6,B2,0.3399215488590625,0.4208932968510423,-0.08097174799197997,-0.08894382274733627,-0.07258585794619844,-3.4740797437344173,6.303513624882668e-18,30
100,partition,0.0,none,0.0,4,during_partition,iss,B6,B2,0.5362312167882919,0.981515504916509,-0.4452842881282171,-0.4662652030835549,-0.4234076156715552,-7.3270507011529595,5.778392499429888e-27,30
100,partition,0.0,none,0.0,4,during_partition,knowledge_survival,B6,B4,0.6030166666666668,0.6932333333333333,-0.09021666666666667,-0.09973333333333333,-0.08086625000000003,-3.338371575055572,1.836758486913284e-17,30
100,partition,0.0,none,0.0,4,during_partition,accuracy_macro,B6,B4,0.3399215488590625,0.39257694213798194,-0.05265539327891952,-0.060881668905270844,-0.04436152101181501,-2.2491657531223073,4.775663155470264e-13,30
